Assets,Class1
ABG.JO,Equities
INL.JO,Equities
NED.JO,Equities
SOL.JO,Equities
ADH.JO,Equities
AVI.JO,Equities
TBS.JO,Equities
BAW.JO,Equities
MNP.JO,Equities
NTC.JO,Equities
SAP.JO,Equities
ARI.JO,Equities
GLN.JO,Equities
KIO.JO,Equities
QLT.JO,Equities
RNI.JO,Equities
REM.JO,Equities
DSY.JO,Equities
MTM.JO,Equities
OMU.JO,Equities
OUT.JO,Equities
EXX.JO,Equities
CLS.JO,Equities
SPP.JO,Equities
APN.JO,Equities
AMS.JO,Equities
DRD.JO,Equities
IMP.JO,Equities
NPH.JO,Equities
SSW.JO,Equities
FFB.JO,Equities
GRT.JO,Equities
RDF.JO,Equities
RES.JO,Equities
MTH.JO,Equities
MRP.JO,Equities
TFG.JO,Equities
TRU.JO,Equities
WHL.JO,Equities
MCG.JO,Equities
VOD.JO,Equities