Assets,Class1
ABG.JO,Equities
INL.JO,Equities
NED.JO,Equities
FSR.JO,Equities
SBKP.JO,Equities
CPI.JO,Equities
ANH.JO,Equities
INP.JO,Equities
SOL.JO,Equities
MNP.JO,Equities
BVT.JO,Equities
AGL.JO,Equities
BHG.JO,Equities
GLN.JO,Equities
RNI.JO,Equities
REM.JO,Equities
DSY.JO,Equities
SLM.JO,Equities
OMU.JO,Equities
EXX.JO,Equities
BID.JO,Equities
CLS.JO,Equities
SHP.JO,Equities
CFR.JO,Equities
APN.JO,Equities
ANG.JO,Equities
GFI.JO,Equities
HAR.JO,Equities
IMP.JO,Equities
NPH.JO,Equities
SSW.JO,Equities
NRP.JO,Equities
GRT.JO,Equities
MRP.JO,Equities
PPH.JO,Equities
NPN.JO,Equities
WHL.JO,Equities
PRX.JO,Equities
MTN.JO,Equities
VOD.JO,Equities
BTI.JO,Equities